Macrotrends Data Download

CME Japanese Yen JPY Futures #1 (JY1)

All contracts are Front Month | Calendar-Weighted Adjusted Prices,
Roll on First of Month | Continuous Contract History.

Disclaimer and Terms of Use: Historical data is provided "as is" and solely
for informational purposes - not for trading purposes or advice.
Neither MacroTrends LLC nor any of our information providers will be liable
for any damages relating to your use of the data provided.

ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, value
1976-08-02,3401.0000
1976-08-03,3401.0000
1976-08-04,3401.0000
1976-08-05,3401.0000
1976-08-06,3401.0000
1976-08-09,3401.0000
1976-08-10,3401.0000
1976-08-11,3401.0000
1976-08-12,3401.0000
1976-08-13,3401.0000
1976-08-16,3401.0000
1976-08-17,3461.0000
1976-08-18,3478.0000
1976-08-19,3472.0000
1976-08-20,3472.0000
1976-08-23,3454.0000
1976-08-24,3454.0000
1976-08-25,3454.0000
1976-08-26,3455.0000
1976-08-27,3468.0000
1976-08-30,3465.0000
1976-08-31,3462.0000
1976-09-01,3462.0000
1976-09-02,3462.0000
1976-09-03,3470.0000
1976-09-07,3473.0000
1976-09-08,3473.0000
1976-09-09,3473.0000
1976-09-10,3473.0000
1976-09-13,3473.0000
1976-09-14,3478.0000
1976-09-15,3480.0000
1976-09-16,3481.0000
1976-09-17,3481.0000
1976-09-20,3484.0000
1976-09-21,3473.0000
1976-09-22,3483.0000
1976-09-23,3485.0000
1976-09-24,3475.0000
1976-09-27,3472.0000
1976-09-28,3480.0000
1976-09-29,3478.0000
1976-09-30,3480.0000
1976-10-01,3480.0000
1976-10-04,3480.0000
1976-10-05,3475.0000
1976-10-06,3470.0000
1976-10-07,3465.0000
1976-10-08,3450.0000
1976-10-11,3437.0000
1976-10-12,3434.0000
1976-10-13,3422.0000
1976-10-14,3408.0000
1976-10-15,3408.0000
1976-10-18,3408.0000
1976-10-19,3412.0000
1976-10-20,3412.0000
1976-10-21,3405.0000
1976-10-22,3401.0000
1976-10-25,3401.0000
1976-10-26,3400.0000
1976-10-27,3400.0000
1976-10-28,3403.0000
1976-10-29,3403.0000
1976-11-01,3380.0000
1976-11-02,3380.0000
1976-11-03,3390.0000
1976-11-04,3390.0000
1976-11-05,3390.0000
1976-11-08,3390.0000
1976-11-09,3390.0000
1976-11-10,3390.0000
1976-11-11,3390.0000
1976-11-12,3390.0000
1976-11-15,3390.0000
1976-11-16,3390.0000
1976-11-17,3385.0000
1976-11-18,3385.0000
1976-11-19,3385.0000
1976-11-22,3383.0000
1976-11-23,3376.0000
1976-11-24,3376.0000
1976-11-26,3376.0000
1976-11-29,3374.0000
1976-11-30,3362.0000
1976-12-01,3355.0000
1976-12-02,3360.0000
1976-12-03,3346.0000
1976-12-06,3365.0000
1976-12-07,3358.0000
1976-12-08,3359.0000
1976-12-09,3359.0000
1976-12-10,3378.0000
1976-12-13,3378.0000
1976-12-14,3370.0000
